"SECONDS";"PID";"VALUE";"UNITS"
"59.9614229";"Calculated engine load value";"3.13725490196078";"%"
"59.9614229";"Intake manifold absolute pressure";"106";"kPa"
"59.9707859";"Calculated boost";"0.08";"bar"
"60.3253645";"Calculated engine load value";"0";"%"
"60.3253645";"Intake manifold absolute pressure";"104";"kPa"
"60.3308058";"Calculated boost";"0.06";"bar"
"60.7073129";"Calculated engine load value";"10.9803921568627";"%"
"60.7073129";"Intake manifold absolute pressure";"106";"kPa"
"60.711649";"Calculated boost";"0.08";"bar"
"61.0950098";"Calculated engine load value";"10.9803921568627";"%"
"61.0950098";"Intake manifold absolute pressure";"105";"kPa"
"61.0993044";"Calculated boost";"0.07";"bar"
"61.578949";"Calculated engine load value";"11.7647058823529";"%"
"61.578949";"Intake manifold absolute pressure";"104";"kPa"
"61.5829711";"Calculated boost";"0.06";"bar"
"61.6490017";"Calculated engine load value";"12.5490196078431";"%"
"61.6490017";"Intake manifold absolute pressure";"105";"kPa"
"61.652701";"Calculated boost";"0.07";"bar"
"61.7165838";"Calculated engine load value";"12.5490196078431";"%"
"61.7165838";"Intake manifold absolute pressure";"107";"kPa"
"61.7207746";"Calculated boost";"0.09";"bar"
"61.8456892";"Calculated engine load value";"12.5490196078431";"%"
"61.8456892";"Intake manifold absolute pressure";"107";"kPa"
"61.8502862";"Calculated boost";"0.09";"bar"
"61.9133914";"Calculated engine load value";"12.9411764705882";"%"
"61.9133914";"Intake manifold absolute pressure";"106";"kPa"
"61.9174804";"Calculated boost";"0.08";"bar"
"61.9661934";"Calculated engine load value";"12.9411764705882";"%"
"61.9661934";"Intake manifold absolute pressure";"104";"kPa"
"61.9682698";"Calculated boost";"0.06";"bar"
"62.0202875";"Calculated engine load value";"12.9411764705882";"%"
"62.0202875";"Intake manifold absolute pressure";"105";"kPa"
"62.0250832";"Calculated boost";"0.07";"bar"
"62.0775861";"Calculated engine load value";"12.9411764705882";"%"
"62.0775861";"Intake manifold absolute pressure";"106";"kPa"
"62.0820762";"Calculated boost";"0.08";"bar"
"62.1320336";"Barometric pressure";"99";"kPa"
"62.1845145";"Calculated engine load value";"12.9411764705882";"%"
"62.1845145";"Intake manifold absolute pressure";"102";"kPa"
"62.1884073";"Calculated boost";"0.03";"bar"
"62.2343231";"Calculated engine load value";"12.9411764705882";"%"
"62.2343231";"Intake manifold absolute pressure";"102";"kPa"
"62.2386863";"Calculated boost";"0.03";"bar"
"62.2858234";"Calculated engine load value";"12.9411764705882";"%"
"62.2858234";"Intake manifold absolute pressure";"103";"kPa"
"62.2897284";"Calculated boost";"0.04";"bar"
"62.3335317";"Calculated engine load value";"12.9411764705882";"%"
"62.3335317";"Intake manifold absolute pressure";"103";"kPa"
"62.3380792";"Calculated boost";"0.04";"bar"
"62.3837072";"Calculated engine load value";"12.9411764705882";"%"
"62.3837072";"Intake manifold absolute pressure";"103";"kPa"
"62.3887122";"Calculated boost";"0.04";"bar"
"62.4351436";"Calculated engine load value";"12.9411764705882";"%"
"62.4351436";"Intake manifold absolute pressure";"104";"kPa"
"62.4399318";"Calculated boost";"0.05";"bar"
"62.4845522";"Calculated engine load value";"13.3333333333333";"%"
"62.4845522";"Intake manifold absolute pressure";"104";"kPa"
"62.4896625";"Calculated boost";"0.05";"bar"
"62.5345241";"Calculated engine load value";"13.3333333333333";"%"
"62.5345241";"Intake manifold absolute pressure";"103";"kPa"
"62.5384832";"Calculated boost";"0.04";"bar"
"62.5810169";"Calculated engine load value";"13.3333333333333";"%"
"62.5810169";"Intake manifold absolute pressure";"103";"kPa"
"62.583206";"Calculated boost";"0.04";"bar"
"62.6283903";"Calculated engine load value";"13.3333333333333";"%"
"62.6283903";"Intake manifold absolute pressure";"102";"kPa"
"62.6327837";"Calculated boost";"0.03";"bar"
"62.7725929";"Barometric pressure";"99";"kPa"
"62.8212506";"Calculated engine load value";"13.3333333333333";"%"
"62.8212506";"Intake manifold absolute pressure";"103";"kPa"
"62.8256345";"Calculated boost";"0.04";"bar"
"62.9711152";"Calculated engine load value";"13.7254901960784";"%"
"62.9711152";"Intake manifold absolute pressure";"104";"kPa"
"62.9752576";"Calculated boost";"0.05";"bar"
"63.3487926";"Calculated engine load value";"14.1176470588235";"%"
"63.3487926";"Intake manifold absolute pressure";"106";"kPa"
"63.3528724";"Calculated boost";"0.07";"bar"
"63.7244133";"Calculated engine load value";"14.5098039215686";"%"
"63.7244133";"Intake manifold absolute pressure";"105";"kPa"
"63.7286759";"Calculated boost";"0.06";"bar"
"64.2237177";"Calculated engine load value";"14.5098039215686";"%"
"64.2237177";"Intake manifold absolute pressure";"104";"kPa"
"64.2277342";"Calculated boost";"0.05";"bar"
"64.4714582";"Calculated engine load value";"14.5098039215686";"%"
"64.4714582";"Intake manifold absolute pressure";"103";"kPa"
"64.4734144";"Calculated boost";"0.04";"bar"
"64.8634259";"Calculated engine load value";"14.5098039215686";"%"
"64.8634259";"Intake manifold absolute pressure";"103";"kPa"
"64.865461";"Calculated boost";"0.04";"bar"
