"SECONDS";"PID";"VALUE";"UNITS"
"31.5291955";"Absolute pedal position D";"11";"%"
"31.5291955";"Engine fuel rate";"1.00000001490116";"l/h"
"31.5291955";"Engine RPM";"1388";"rpm"
"31.5291955";"Vehicle speed";"12";"km/h"
"31.6142031";"Calculated instant fuel consumption";"0";"l/100km"
"31.6149553";"Vehicle acceleration";"0";"m_sec2"
"31.733698";"Calculated instant fuel rate";"1.00000001490116";"l/h"
"31.7371914";"Instant engine power (based on fuel consumption)";"3.25658671519359";"hp"
"32.1642489";"Absolute pedal position D";"11";"%"
"32.1642489";"Engine fuel rate";"0.950000014156103";"l/h"
"32.1642489";"Engine RPM";"1385";"rpm"
"32.1642489";"Vehicle speed";"12";"km/h"
"32.1714889";"Calculated instant fuel consumption";"8.33333345750968";"l/100km"
"32.1715842";"Distance travelled";"0.00185564866666667";"km"
"32.1717792";"Vehicle acceleration";"0";"m_sec2"
"32.1740074";"Calculated instant fuel rate";"0.950000014156103";"l/h"
"32.1756518";"Calculated instant fuel consumption km/l.";"11.9999998211861";"km/l."
"32.1762078";"Distance travelled (total)";"437.637366479278";"km"
"32.1770337";"Fuel used";"0.000116068864229561";"l"
"32.1772039";"Instant engine power (based on fuel consumption)";"3.09375737943391";"hp"
"32.1872803";"Average fuel consumption (total)";"99.9995759848658";"l/100km"
"32.1874681";"Average fuel consumption";"6.2548943835396";"l/100km"
"32.1875672";"Fuel used (total)";"12.7359234184912";"l"
"32.1876619";"Fuel used price";"0.000149728834856133";"€"
"32.2029021";"Distance to empty";"0";"km"
"32.203281";"Average fuel consumption km/l.";"15.9874801824249";"km/l."
"32.2036215";"Fuel used price (total)";"16.4293412098536";"€"
"32.7924495";"Absolute pedal position D";"11";"%"
"32.7924495";"Engine fuel rate";"1.00000001490116";"l/h"
"32.7924495";"Engine RPM";"1377";"rpm"
"32.7924495";"Vehicle speed";"12";"km/h"
"32.795082";"Calculated instant fuel consumption";"7.91666678463419";"l/100km"
"32.7952038";"Distance travelled";"0.00393437066666667";"km"
"32.7953855";"Vehicle acceleration";"0";"m_sec2"
"32.796148";"Calculated instant fuel rate";"1.00000001490116";"l/h"
"32.7972071";"Calculated instant fuel consumption km/l.";"12.6315787591432";"km/l."
"32.7977293";"Average speed";"22.7887900991437";"km/h"
"32.7978492";"Distance travelled (total)";"437.639445201278";"km"
"32.7982808";"Fuel used";"0.00028863708902325";"l"
"32.7983939";"Instant engine power (based on fuel consumption)";"3.25658671519359";"hp"
"32.805412";"Average fuel consumption (total)";"2.91014065531357";"l/100km"
"32.8055766";"Average fuel consumption";"7.33629628414735";"l/100km"
"32.8056875";"Fuel used (total)";"12.736095986716";"l"
"32.8058024";"Fuel used price";"0.000372341844839992";"€"
"32.8235437";"Distance to empty";"0";"km"
"32.8238077";"Average fuel consumption km/l.";"13.630856242282";"km/l."
"32.8239899";"Fuel used price (total)";"16.4295638228636";"€"
"33.1867785";"Absolute pedal position D";"11";"%"
