"SECONDS";"PID";"VALUE";"UNITS"
"1061.0479956";"Absolute pedal position D";"24";"%"
"1061.0479956";"Engine fuel rate";"6.8000001013279";"l/h"
"1061.0479956";"Engine RPM";"1737";"rpm"
"1061.0479956";"Vehicle speed";"111";"km/h"
"1061.0524435";"Calculated instant fuel consumption";"0";"l/100km"
"1061.0528991";"Vehicle acceleration";"0";"m_sec2"
"1061.0549003";"Calculated instant fuel rate";"6.8000001013279";"l/h"
"1061.0606915";"Instant engine power (based on fuel consumption)";"22.1447896633164";"hp"
"1061.1219874";"Absolute pedal position D";"24";"%"
"1061.1219874";"Engine fuel rate";"6.95000010356307";"l/h"
"1061.1219874";"Engine RPM";"1739";"rpm"
"1061.1219874";"Vehicle speed";"111";"km/h"
"1061.1354412";"Calculated instant fuel consumption";"6.12612621741252";"l/100km"
"1061.1355588";"Distance travelled";"0.00255345941666667";"km"
"1061.1357877";"Vehicle acceleration";"0";"m_sec2"
"1061.1368942";"Calculated instant fuel rate";"6.95000010356307";"l/h"
"1061.1386767";"Calculated instant fuel consumption km/l.";"16.3235291685252";"km/l."
"1061.1392298";"Distance travelled (total)";"662.200900081389";"km"
"1061.1398151";"Fuel used";"0.000152768724498654";"l"
"1061.1399812";"Instant engine power (based on fuel consumption)";"22.6332776705955";"hp"
"1061.1514756";"Average fuel consumption (total)";"99.9996143980752";"l/100km"
"1061.1516681";"Average fuel consumption";"5.98281388384393";"l/100km"
"1061.1517791";"Fuel used (total)";"24.1913202368843";"l"
"1061.1519126";"Fuel used price";"0.000197071654603263";"€"
"1061.1707888";"Distance to empty";"5.00001928017058";"km"
"1061.1711332";"Average fuel consumption km/l.";"16.7145430129527";"km/l."
"1061.1713673";"Fuel used price (total)";"31.2068031055808";"€"
"1061.222019";"Absolute pedal position D";"24";"%"
"1061.222019";"Engine fuel rate";"6.8000001013279";"l/h"
"1061.222019";"Engine RPM";"1741";"rpm"
"1061.222019";"Vehicle speed";"111";"km/h"
"1061.2235623";"Calculated instant fuel consumption";"6.26126135456132";"l/100km"
"1061.2238299";"Distance travelled";"0.00527511158333333";"km"
"1061.2240075";"Vehicle acceleration";"0";"m_sec2"
"1061.2249035";"Calculated instant fuel rate";"6.8000001013279";"l/h"
"1061.2353363";"Calculated instant fuel consumption km/l.";"15.971222783593";"km/l."
"1061.2358081";"Average speed";"196.59411472406";"km/h"
"1061.2358988";"Distance travelled (total)";"662.203621733556";"km"
"1061.2362451";"Fuel used";"0.000334910882768339";"l"
"1061.2363365";"Instant engine power (based on fuel consumption)";"22.1447896633164";"hp"
"1061.2522349";"Average fuel consumption (total)";"3.65315432337184";"l/100km"
"1061.2523597";"Average fuel consumption";"6.34888717475639";"l/100km"
"1061.2524479";"Fuel used (total)";"24.1915023790426";"l"
"1061.2525375";"Fuel used price";"0.000432035038771157";"€"
"1061.2708264";"Distance to empty";"136.868020275284";"km"
"1061.2710885";"Average fuel consumption km/l.";"15.7507917919233";"km/l."
"1061.271265";"Fuel used price (total)";"31.2070380689649";"€"
"1061.3273272";"Absolute pedal position D";"24";"%"
"1061.3273272";"Engine fuel rate";"6.90000010281801";"l/h"
"1061.3273272";"Engine RPM";"1739";"rpm"
"1061.3273272";"Vehicle speed";"111";"km/h"
"1061.3304158";"Calculated instant fuel consumption";"6.12612621741252";"l/100km"
"1061.3305363";"Distance travelled";"0.00856516391666667";"km"
"1061.3307147";"Vehicle acceleration";"0";"m_sec2"
"1061.3314971";"Calculated instant fuel rate";"6.90000010281801";"l/h"
